             #Energy(eV)                XX(uV/K)                YY(uV/K)                ZZ(uV/K)           Average(uV/K)
     -0.107907907908E+01      0.141679046328E+02      0.141679046328E+02      0.141679046328E+02      0.141679046328E+02
     -0.107507507508E+01      0.141833347673E+02      0.141833347673E+02      0.141833347673E+02      0.141833347673E+02
     -0.107107107107E+01      0.141692499978E+02      0.141692499978E+02      0.141692499978E+02      0.141692499978E+02
     -0.106706706707E+01      0.141261825637E+02      0.141261825637E+02      0.141261825637E+02      0.141261825637E+02
     -0.106306306306E+01      0.140563223994E+02      0.140563223994E+02      0.140563223994E+02      0.140563223994E+02
     -0.105905905906E+01      0.139633470582E+02      0.139633470582E+02      0.139633470582E+02      0.139633470582E+02
     -0.105505505506E+01      0.138519687801E+02      0.138519687801E+02      0.138519687801E+02      0.138519687801E+02
     -0.105105105105E+01      0.137273121509E+02      0.137273121509E+02      0.137273121509E+02      0.137273121509E+02
     -0.104704704705E+01      0.135942744538E+02      0.135942744538E+02      0.135942744538E+02      0.135942744538E+02
     -0.104304304304E+01      0.134570191203E+02      0.134570191203E+02      0.134570191203E+02      0.134570191203E+02
     -0.103903903904E+01      0.133187132796E+02      0.133187132796E+02      0.133187132796E+02      0.133187132796E+02
     -0.103503503504E+01      0.131815559585E+02      0.131815559585E+02      0.131815559585E+02      0.131815559585E+02
     -0.103103103103E+01      0.130470718027E+02      0.130470718027E+02      0.130470718027E+02      0.130470718027E+02
     -0.102702702703E+01      0.129165837464E+02      0.129165837464E+02      0.129165837464E+02      0.129165837464E+02
     -0.102302302302E+01      0.127917397387E+02      0.127917397387E+02      0.127917397387E+02      0.127917397387E+02
     -0.101901901902E+01      0.126749598654E+02      0.126749598654E+02      0.126749598654E+02      0.126749598654E+02
     -0.101501501502E+01      0.125696908404E+02      0.125696908404E+02      0.125696908404E+02      0.125696908404E+02
     -0.101101101101E+01      0.124803990850E+02      0.124803990850E+02      0.124803990850E+02      0.124803990850E+02
     -0.100700700701E+01      0.124122914704E+02      0.124122914704E+02      0.124122914704E+02      0.124122914704E+02
     -0.100300300300E+01      0.123708118992E+02      0.123708118992E+02      0.123708118992E+02      0.123708118992E+02
     -0.998998998999E+00      0.123610099145E+02      0.123610099145E+02      0.123610099145E+02      0.123610099145E+02
     -0.994994994995E+00      0.123869047079E+02      0.123869047079E+02      0.123869047079E+02      0.123869047079E+02
     -0.990990990991E+00      0.124509690681E+02      0.124509690681E+02      0.124509690681E+02      0.124509690681E+02
     -0.986986986987E+00      0.125538331321E+02      0.125538331321E+02      0.125538331321E+02      0.125538331321E+02
     -0.982982982983E+00      0.126942623925E+02      0.126942623925E+02      0.126942623925E+02      0.126942623925E+02
     -0.978978978979E+00      0.128694072014E+02      0.128694072014E+02      0.128694072014E+02      0.128694072014E+02
     -0.974974974975E+00      0.130752635155E+02      0.130752635155E+02      0.130752635155E+02      0.130752635155E+02
     -0.970970970971E+00      0.133072392504E+02      0.133072392504E+02      0.133072392504E+02      0.133072392504E+02
     -0.966966966967E+00      0.135606983989E+02      0.135606983989E+02      0.135606983989E+02      0.135606983989E+02
     -0.962962962963E+00      0.138313624688E+02      0.138313624688E+02      0.138313624688E+02      0.138313624688E+02
     -0.958958958959E+00      0.141154848956E+02      0.141154848956E+02      0.141154848956E+02      0.141154848956E+02
     -0.954954954955E+00      0.144097696267E+02      0.144097696267E+02      0.144097696267E+02      0.144097696267E+02
