#K-Path     Energy-Level
#Band-index    1
  0.189       -6.9612
  0.220       -7.0233
  0.252       -7.0896
  0.283       -7.1587
  0.315       -7.2290
  0.346       -7.2993
  0.378       -7.3681
  0.409       -7.4343
  0.441       -7.4968
  0.472       -7.5546
  0.504       -7.6068
  0.535       -7.6525
  0.567       -7.6910
  0.598       -7.7216
  0.630       -7.7438
  0.661       -7.7573
  0.693       -7.7618
  0.693       -7.7618
  0.725       -7.7569
  0.758       -7.7425
  0.791       -7.7190
  0.823       -7.6871
  0.856       -7.6479
  0.889       -7.6026
  0.921       -7.5528
  0.954       -7.5006
  0.987       -7.4479
  1.019       -7.3971
  1.052       -7.3509
  1.085       -7.3116
  1.117       -7.2816
  1.150       -7.2627
  1.182       -7.2563
  1.182       -7.2563
  1.214       -7.2521
  1.245       -7.2395
  1.277       -7.2186
  1.308       -7.1899
  1.340       -7.1536
  1.371       -7.1103
  1.403       -7.0605
  1.434       -7.0050
  1.466       -6.9444
  1.497       -6.8796
  1.529       -6.8116
  1.560       -6.7414
  1.592       -6.6703
  1.623       -6.5996
  1.655       -6.5309
  1.686       -6.4658
  1.718       -6.4061
  1.749       -6.3537
  1.781       -6.3105
  1.812       -6.2782
  1.844       -6.2582
  1.875       -6.2514
  1.875       -6.2514
  1.907       -6.2581
  1.938       -6.2782
  1.969       -6.3108
  2.001       -6.3548
  2.032       -6.4090
  2.064       -6.4719
  2.095       -6.5420
  2.126       -6.6177
  2.158       -6.6977
  2.189       -6.7806
  2.221       -6.8653
  2.252       -6.9507
  2.284       -7.0358
  2.315       -7.1197
  2.346       -7.2015
  2.378       -7.2804
  2.409       -7.3556
  2.441       -7.4264
  2.472       -7.4922
  2.504       -7.5521
  2.535       -7.6056
  2.566       -7.6520
  2.598       -7.6908
  2.629       -7.7216
  2.661       -7.7438
  2.692       -7.7573
  2.723       -7.7618
#Band-index   14
  2.723       -1.5608
  2.692       -1.5611
  2.661       -1.5620
  2.629       -1.5635
  2.598       -1.5657
  2.566       -1.5688
  2.535       -1.5732
  2.504       -1.5796
  2.472       -1.5893
  2.441       -1.6141
  2.409       -1.7135
  2.378       -1.8210
  2.346       -1.9297
  2.315       -2.0367
  2.284       -2.1403
  2.252       -2.2391
  2.221       -2.3325
  2.189       -2.4196
  2.158       -2.4998
  2.126       -2.5728
  2.095       -2.6380
  2.064       -2.6952
  2.032       -2.7441
  2.001       -2.7844
  1.969       -2.8159
  1.938       -2.8385
  1.907       -2.8521
  1.875       -2.8567
  1.875       -2.8567
  1.844       -2.8557
  1.812       -2.8528
  1.781       -2.8479
  1.749       -2.8412
  1.718       -2.8327
  1.686       -2.8225
  1.655       -2.8106
  1.623       -2.7973
  1.592       -2.7826
  1.560       -2.7669
  1.529       -2.7503
  1.497       -2.7332
  1.466       -2.7158
  1.434       -2.6985
  1.403       -2.6818
  1.371       -2.6661
  1.340       -2.6517
  1.308       -2.6392
  1.277       -2.6290
  1.245       -2.6214
  1.214       -2.6168
  1.182       -2.6152
  1.182       -2.6152
  1.150       -2.5990
  1.117       -2.5508
  1.085       -2.4723
  1.052       -2.3660
  1.019       -2.2351
  0.987       -2.0834
  0.954       -1.9156
  0.921       -1.7370
  0.889       -1.6050
  0.856       -1.5929
  0.823       -1.5821
  0.791       -1.5731
  0.758       -1.5664
  0.725       -1.5622
  0.693       -1.5608
  0.693       -1.5608
  0.661       -1.5613
  0.630       -1.5629
  0.598       -1.5652
  0.567       -1.5680
  0.535       -1.5708
  0.504       -1.5730
  0.472       -1.5741
  0.441       -1.6117
  0.409       -1.7469
  0.378       -1.8791
  0.346       -2.0062
